category,semantic_score
PMO,0.47786847
Public Relations,0.35118258
Public Relations,0.4846773
Public Relations,0.23098414
Python Developer,0.3900667
Python Developer,0.2390821
Python Developer,0.3096057
React Developer,0.36790764
React Developer,0.3285217
React Developer,0.44393864
SAP Developer,0.35461512
SAP Developer,0.4850072
SAP Developer,0.44989705
SQL Developer,0.31955406
SQL Developer,0.43301883
SQL Developer,0.41127643
Sales,0.5876096
Sales,0.534146
Sales,0.5054166
Testing,0.30191535
Testing,0.3533516
Testing,0.24849522
Web Designing,0.28957042
Web Designing,0.40762094
Web Designing,0.3702283
Accountant,0.3641901
Accountant,0.4268418
Accountant,0.38813734
Advocate,0.4549446
Advocate,0.5125048
Advocate,0.4911929
Agriculture,0.2910183
Agriculture,0.368955
Agriculture,0.25653577
Apparel,0.35286942
Apparel,0.31434184
Apparel,0.32886875
Architecture,0.35880673
Architecture,0.22312564
Architecture,0.376703
Arts,0.22119851
Arts,0.3637111
Arts,0.20458749
Automobile,0.3525837
Automobile,0.2748004
Automobile,0.38200966
Aviation,0.31999388
Aviation,0.2689807
Aviation,0.3388239
BPO,0.2675151
BPO,0.2736656
BPO,0.40767312
Banking,0.43041193
Banking,0.28405365
Banking,0.46034387
Blockchain,0.32362834
Blockchain,0.35958824
Blockchain,0.22095531
